surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,cp_data,lesion_1_site,lesion_1_type,lesion_1_subtype,lesion_1_specific,num_lesions
0,0,38.5,66.0,28.0,0,1,0,0,0,0,3,1,1,5.7,1,2,45.0,8.4,0,3.94,0,0,0,0,0,0,0,0
1,0,39.2,88.0,20.0,1,1,1,1,1,0,1,1,0,2.66,0,2,50.0,85.0,0,2.0,1,0,0,1,1,0,1,0
0,0,38.3,40.0,24.0,1,2,2,1,1,1,0,1,0,5.4,2,0,33.0,6.7,0,3.88,2,0,1,2,2,0,0,1
1,1,39.1,164.0,84.0,0,2,3,0,2,0,3,0,1,5.0,1,2,48.0,7.2,1,5.3,0,1,1,1,1,0,1,0
0,0,37.3,104.0,35.0,0,1,3,0,1,1,2,1,1,4.6,0,2,74.0,7.4,0,3.56,0,0,0,3,0,0,0,0
0,0,38.339999999999996,55.6,21.6,2,2,2,1,2,1,1,1,0,6.5,1,1,40.6,39.82,0,2.4799999999999995,2,0,0,2,2,0,0,1
1,0,37.9,48.0,16.0,1,2,0,1,1,1,2,0,0,5.64,1,2,37.0,7.0,0,3.38,2,1,0,4,3,1,2,0
1,0,37.46,60.0,24.4,0,2,0,1,1,0,1,1,0,6.0,1,1,44.0,8.3,0,4.36,0,1,0,1,1,0,1,0
0,0,38.480000000000004,80.0,36.0,0,0,2,1,3,0,3,1,0,5.14,1,2,38.0,6.2,0,3.6599999999999993,1,1,0,4,1,0,3,0
0,1,38.3,90.0,30.6,1,1,0,1,0,1,0,1,0,5.04,1,1,40.0,6.2,2,2.2,2,0,1,2,2,0,0,1
1,0,38.1,66.0,12.0,0,1,4,1,1,1,0,1,0,3.0,3,2,44.0,6.0,0,3.6,2,1,1,1,3,1,2,0
0,0,39.1,72.0,52.0,2,1,5,1,2,2,1,0,0,6.3,0,1,50.0,7.8,0,3.7399999999999998,2,1,0,1,3,2,4,0
1,0,37.2,42.0,12.0,2,2,0,1,1,1,2,2,0,5.36,0,2,39.0,7.0,0,2.7,2,0,0,3,3,1,2,0
0,1,38.0,92.0,28.0,1,2,5,1,4,1,1,2,0,7.2,2,0,37.0,6.1,2,4.7,0,0,1,2,2,0,0,1
1,0,38.2,76.0,28.0,0,2,0,1,1,0,0,1,1,2.2600000000000002,0,1,46.0,81.0,2,2.0,2,1,0,1,3,2,5,0
1,0,37.6,96.0,48.0,0,2,1,1,0,1,2,1,2,4.5,0,2,45.0,6.8,0,3.0799999999999996,0,1,0,4,1,0,6,0
1,1,39.160000000000004,128.0,36.0,0,1,1,0,3,0,2,2,1,5.74,0,2,53.0,7.8,1,4.7,0,0,1,5,4,0,0,0
0,0,37.5,48.0,24.0,1,1,0,1,1,1,2,0,1,4.4399999999999995,0,1,51.4,33.839999999999996,0,3.9199999999999995,2,0,0,2,2,0,0,1
1,0,37.6,64.0,21.0,1,2,5,1,2,1,0,0,0,4.279999999999999,3,2,40.0,7.0,2,3.6799999999999997,2,1,1,3,1,0,3,0
0,0,39.4,110.0,35.0,0,1,3,1,1,1,2,1,1,5.8,1,2,55.0,8.7,0,3.9799999999999995,2,0,0,2,2,0,0,1
1,0,39.9,72.0,60.0,1,2,4,0,0,0,3,2,0,6.0,0,1,46.0,6.1,0,3.94,2,1,0,1,3,2,4,0
0,0,38.4,48.0,16.0,1,2,0,1,4,1,0,1,2,5.5,0,2,49.0,6.8,0,3.2800000000000002,2,0,0,2,2,0,0,1
1,0,38.6,42.0,34.0,2,2,1,1,2,1,0,1,1,5.84,2,1,48.0,7.2,0,4.380000000000001,2,1,0,4,3,2,4,0
1,1,38.3,130.0,60.0,0,1,0,1,2,0,2,0,1,2.2,1,2,50.0,70.0,0,1.6,2,1,0,4,3,2,4,0
1,0,38.1,60.0,12.0,0,1,2,1,1,0,2,2,1,2.0,1,2,51.0,65.0,0,1.7600000000000002,2,1,0,4,3,2,4,0
0,0,37.8,60.0,42.0,1,2,0,1,1,1,1,1,1,5.5,1,1,39.4,16.419999999999998,0,3.02,2,0,0,2,2,0,0,1
1,0,38.3,72.0,30.0,0,1,2,0,1,1,2,1,0,6.1,1,2,43.0,7.0,0,3.9,2,1,1,4,3,2,4,0
1,0,37.8,48.0,12.0,0,2,0,1,1,1,1,0,0,5.640000000000001,2,2,37.0,5.5,0,1.3,2,0,1,3,3,1,5,0
1,0,38.16861924686192,72.0,30.46058091286307,1,1,0,1,1,1,1,1,1,4.7075471698113205,1,1,46.30740740740741,24.274436090225564,0,3.0396039603960396,0,0,0,3,0,0,0,0
0,0,37.7,48.0,29.2,2,2,0,1,4,2,0,0,0,1.8,0,2,45.0,76.0,0,1.6,2,0,0,2,2,0,0,1
0,0,37.7,96.0,30.0,0,1,1,0,0,0,3,2,1,4.0,0,2,66.0,7.5,0,4.14,0,1,0,3,1,0,3,0
0,0,37.2,108.0,12.0,0,1,1,0,2,0,1,1,2,6.0,1,2,52.0,8.2,1,7.4,1,1,1,1,1,0,6,0
1,0,37.2,60.0,24.4,2,2,0,1,1,1,2,1,0,5.8,0,2,43.0,6.6,0,4.36,2,1,0,1,1,0,7,0
1,0,38.2,64.0,28.0,1,2,0,1,1,2,2,1,1,5.84,0,1,49.0,8.6,0,6.6,2,1,1,1,1,0,1,0
1,0,37.88,100.0,30.0,0,1,1,0,0,0,3,2,2,6.1,0,1,52.0,6.6,0,4.16,2,1,0,5,3,1,2,0
0,0,38.660000000000004,104.0,24.0,0,1,2,0,3,0,2,0,2,5.2,0,2,73.0,8.4,0,4.66,1,1,0,6,3,2,4,0
0,0,38.3,112.0,16.0,0,1,4,0,1,1,0,0,1,5.2,0,2,51.0,6.0,0,1.0,1,0,1,7,1,0,3,0
1,0,37.8,72.0,24.4,1,1,0,1,0,1,0,1,0,2.8600000000000003,2,0,56.0,80.0,2,2.0,2,1,0,4,3,2,4,0
0,0,38.6,52.0,20.2,1,2,0,1,1,1,1,0,0,5.46,2,1,32.0,6.6,2,5.0,2,0,1,2,2,0,0,1
1,1,39.2,146.0,96.0,1,1,0,1,1,1,2,0,1,5.0200000000000005,1,1,52.0,7.279999999999999,0,3.18,0,1,0,1,3,2,8,0
1,0,38.58,88.0,31.2,0,1,3,0,0,1,2,0,2,5.8,0,2,63.0,6.5,1,4.340000000000001,0,1,0,3,1,0,3,0
0,1,39.0,150.0,72.0,0,1,0,1,1,1,1,1,1,5.0200000000000005,1,2,47.0,8.5,0,0.1,2,1,1,8,4,0,0,0
0,0,38.0,60.0,12.0,0,2,2,1,1,1,0,0,0,4.779999999999999,3,1,47.0,7.0,0,4.94,2,0,0,4,3,2,4,0
1,0,38.54,120.0,53.2,0,0,1,1,3,0,3,0,0,2.2,0,2,52.0,67.0,0,2.0,1,1,0,4,1,0,3,0
1,0,35.4,140.0,24.0,0,1,1,0,3,0,2,1,0,2.2,0,2,57.0,69.0,1,2.0,1,1,0,4,1,0,3,0
0,0,39.4,120.0,28.0,0,1,1,0,0,0,3,0,0,6.04,0,2,60.0,6.5,1,4.040000000000001,0,1,0,4,1,0,3,0
1,0,37.9,60.0,15.0,0,1,1,0,0,0,3,1,1,5.26,0,2,65.0,7.5,0,2.9199999999999995,2,1,1,1,0,0,3,0
0,0,37.5,48.0,16.0,1,2,0,1,4,2,0,0,0,5.640000000000001,2,2,37.0,6.5,0,3.38,2,0,0,2,2,0,0,1
1,0,38.9,80.0,44.0,0,1,2,0,2,1,2,1,1,7.0,1,0,54.0,6.5,1,2.7600000000000002,0,1,0,6,3,2,4,0
0,0,37.2,84.0,48.0,0,1,4,0,3,2,1,0,1,5.1,3,0,73.0,5.5,0,4.1,0,0,1,3,0,0,0,0
0,0,38.6,46.0,23.2,1,2,5,1,4,1,1,0,0,5.74,1,1,49.0,9.1,2,1.6,2,0,1,4,3,2,4,0
1,0,37.4,84.0,36.0,1,1,2,0,1,1,1,1,0,2.8,0,2,41.8,16.96,1,2.7,0,1,1,6,1,0,7,0
0,0,38.2,45.4,25.6,1,2,2,1,4,1,0,1,0,4.18,3,1,43.0,7.7,0,3.08,2,0,0,4,3,2,4,0
0,0,38.6,40.0,20.0,1,2,0,1,1,1,1,1,0,5.5600000000000005,2,1,41.0,6.4,0,2.96,2,0,1,4,3,2,4,0
0,0,40.3,114.0,36.0,0,1,0,0,2,1,2,1,0,7.0,2,2,57.0,8.1,1,4.5,1,1,1,6,4,0,0,0
1,1,38.6,160.0,20.0,0,1,4,1,1,1,3,2,1,4.62,0,2,38.0,16.54,0,2.8200000000000003,0,1,1,6,3,2,4,0
1,0,38.32000000000001,54.0,18.0,1,2,0,1,1,1,1,1,1,4.58,1,1,24.0,6.7,0,3.3599999999999994,2,1,0,4,3,2,5,0
1,0,38.64,64.0,36.0,2,2,5,1,0,1,2,1,1,6.3,1,1,42.0,7.7,0,2.86,0,1,0,4,1,0,7,0
1,0,38.58,76.8,20.0,1,1,2,1,0,0,2,1,1,6.14,0,1,53.0,5.9,1,3.22,0,1,1,4,1,0,3,0
0,0,38.58,96.0,27.6,0,1,2,0,0,0,3,0,1,4.8,0,2,60.0,7.2,0,3.08,0,1,0,3,1,0,3,0
0,0,37.8,48.0,32.0,1,2,2,1,2,2,2,0,0,5.9399999999999995,0,2,37.0,6.7,0,4.0600000000000005,2,0,0,1,3,1,2,0
0,0,38.5,60.0,22.8,2,2,0,1,4,3,1,1,0,6.0,2,0,44.0,7.7,0,4.36,2,0,0,2,2,0,0,1
1,0,37.8,88.0,22.0,2,2,5,1,1,1,2,1,1,5.2,0,1,64.0,8.0,2,6.0,0,1,1,4,1,0,3,0
0,0,38.2,130.0,16.0,0,1,1,0,2,0,3,0,0,2.2,0,2,65.0,82.0,0,2.0,1,0,0,1,1,0,7,0
1,0,39.0,64.0,36.0,0,2,1,0,1,1,1,0,1,7.0,0,2,44.0,7.5,1,5.0,2,1,1,1,3,2,8,0
1,0,37.8,60.0,36.0,0,2,2,1,1,1,1,0,0,2.46,1,1,26.0,72.0,0,1.0,2,1,0,1,1,0,1,0
0,0,37.9,72.0,24.4,1,2,4,0,1,1,0,0,2,2.0,1,1,58.0,74.0,2,2.0,2,1,0,1,0,1,5,0
0,0,38.4,54.0,24.0,1,2,0,1,4,1,0,1,0,6.04,1,2,49.0,7.2,2,4.78,2,0,1,4,3,2,4,0
0,0,38.42,52.0,16.0,1,1,2,1,1,1,2,1,2,5.5,0,2,55.0,7.2,0,3.7,2,0,0,1,3,1,2,0
0,0,38.0,48.0,12.0,1,2,0,1,4,1,1,0,0,5.640000000000001,1,2,42.0,6.3,0,4.1,2,0,1,4,3,2,4,0
0,0,37.0,60.0,20.0,0,1,0,1,1,1,2,1,1,4.5,0,1,43.0,7.6,0,4.720000000000001,1,1,1,1,1,0,7,0
1,0,37.8,48.0,28.0,1,2,0,1,4,3,0,1,0,6.04,2,0,46.0,5.9,0,7.0,2,0,1,2,2,0,0,1
1,0,37.7,56.0,30.4,1,2,0,1,1,1,1,0,0,5.619999999999999,2,1,48.0,44.56,0,2.92,0,1,0,1,3,2,8,0
1,0,38.1,52.0,24.0,1,2,4,1,3,1,0,1,2,7.0,2,1,54.0,7.5,0,2.6,0,1,1,1,3,2,5,0
1,1,38.019999999999996,77.6,36.8,1,2,0,1,1,1,1,1,0,5.9399999999999995,2,1,37.0,4.9,0,2.82,0,1,0,0,3,1,2,0
1,1,39.7,100.0,38.0,0,1,4,0,2,1,3,1,0,2.2,1,2,48.0,57.0,0,2.0,1,1,0,5,4,0,0,0
1,0,37.6,38.0,20.0,0,1,0,1,1,1,1,1,0,1.8,1,1,37.0,68.0,0,1.4,2,1,0,4,1,0,3,0
0,0,38.7,52.0,20.0,2,1,0,1,4,2,0,0,0,1.8,2,0,33.0,77.0,0,1.4,2,0,0,2,2,0,0,1
1,0,38.78,88.0,29.8,0,1,2,2,0,1,2,2,1,5.4,0,2,46.0,5.9,0,4.859999999999999,0,1,0,4,2,1,3,0
1,0,37.5,96.0,18.0,1,1,3,0,1,0,1,1,2,5.0,1,1,69.0,8.9,1,4.66,2,1,1,1,1,0,1,0
1,0,36.4,98.0,35.0,0,1,1,1,3,1,1,1,1,5.04,0,1,47.0,6.4,1,3.6,0,1,1,1,1,0,3,0
