surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,cp_data,lesion_1_site,lesion_1_type,lesion_1_subtype,lesion_1_specific,num_lesions
0,0,0.4231267326122262,-0.22153354310364234,-0.1466236622186068,0,1,0,0,0,0,3,1,1,0.7470115116075775,1,2,-0.12870674295623682,-0.5982283055637372,0,0.533041879632542,0,0,0,0,0,0,0,0
1,0,1.44099803628754,0.573733672862173,-0.6412680414437255,1,1,1,1,1,0,1,1,0,-1.1052046783200693,0,2,0.36922759221364426,2.3346248596744976,0,-0.8306086119492241,1,0,0,1,1,0,1,0
0,0,0.13230636013356212,-1.1613947983359696,-0.39394585183116615,1,2,2,1,1,1,0,1,0,0.5642270191805072,2,0,-1.3237491473639516,-0.6633177361238547,0,0.49086712216094097,2,0,1,2,2,0,0,1
1,1,1.295587850048208,3.3210204189258987,3.3158869923572247,0,2,3,0,2,0,3,0,1,0.3205143626110798,1,2,0.17005385814569182,-0.6441737859591142,1,1.4890030489888315,0,1,1,1,1,0,1,0
0,0,-1.3217955022597376,1.1521098299282204,0.2861901696033721,0,1,3,0,1,1,2,1,1,0.07680170604165237,0,2,2.7593124010290735,-0.636516205893218,0,0.2659350823124023,0,0,0,3,0,0,0,0
0,0,0.19047043462929286,-0.5974780451965732,-0.5423391655987017,2,2,2,1,2,1,1,1,0,1.2344368247464317,1,1,-0.566888957905732,0.6047775227885519,0,-0.4932105521764163,2,0,0,2,2,0,0,1
1,0,-0.44933438482375576,-0.8722067198029458,-0.8885902310562849,1,2,0,1,1,1,2,0,0,0.7104546131221631,1,2,-0.9254016792280466,-0.6518313660250105,0,0.13941080989759916,2,1,0,4,3,1,2,0
1,0,-1.0891392042768044,-0.43842460200341016,-0.3692136328699103,0,2,0,1,1,0,1,1,0,0.9297960040346478,1,1,-0.22829360999021303,-0.6020570955966853,0,0.8282651819337493,0,1,0,1,1,0,1,0
0,0,0.394044695364366,0.2845455943291492,0.348020717006512,0,0,2,1,3,0,3,1,0,0.4058137924103791,1,2,-0.8258148121940704,-0.6824616862885952,0,0.33622634476507013,1,1,0,4,1,0,3,0
0,1,0.13230636013356212,0.6460306924954289,0.0141357610295569,1,1,0,1,0,1,0,1,0,0.34488562826802255,1,1,-0.6266410781261179,-0.6824616862885952,2,-0.6900260870438872,2,0,1,2,2,0,0,1
1,0,-0.15851401234509166,-0.22153354310364234,-1.1359124206688442,0,1,4,1,1,1,0,1,0,-0.8980489202360562,3,2,-0.22829360999021303,-0.6901192663544913,0,0.2940515872934697,2,1,1,1,3,1,2,0
0,0,1.295587850048208,-0.004642484203874523,1.3373094754567494,2,1,5,1,2,2,1,0,0,1.112580496461718,0,1,0.36922759221364426,-0.6212010457614257,0,0.39245935472720517,2,1,0,1,3,2,4,0
1,0,-1.4672056884990594,-1.0890977787027136,-1.1359124206688442,2,2,0,1,1,1,2,2,0,0.5398557535235644,0,2,-0.7262279451600941,-0.6518313660250105,0,-0.33856977478054545,2,0,0,3,3,1,2,0
0,1,-0.3039241985844237,0.7183277121286848,-0.1466236622186068,1,2,5,1,4,1,1,2,0,1.6609339737429294,2,0,-0.9254016792280466,-0.6862904763215433,2,1.0672554742728217,0,0,1,2,2,0,0,1
1,0,-0.013103826105759605,0.13995155506263735,-0.1466236622186068,0,2,0,1,1,0,0,1,1,-1.3489173348894963,0,1,-0.0291198759222606,2.1814732583565744,2,-0.8306086119492241,2,1,0,1,3,2,5,0
1,0,-0.8855649435417415,0.8629217513951968,1.0899872858441901,0,2,1,1,0,1,2,1,2,0.01587354189929579,0,2,-0.12870674295623682,-0.6594889460909066,0,-0.0714629774604061,0,1,0,4,1,0,6,0
1,1,1.3828339617918095,2.019674065527292,0.348020717006512,0,1,1,0,3,0,2,2,1,0.7713827772645202,0,2,0.6679881933155729,-0.6212010457614257,1,1.0672554742728217,0,0,1,5,4,0,0,0
0,0,-1.0309751297810736,-0.8722067198029458,-0.39394585183116615,1,1,0,1,1,1,2,0,1,-0.020683356586118595,0,1,0.5086492060612109,0.3758158788182561,0,0.518983627142008,2,0,0,2,2,0,0,1
1,0,-0.8855649435417415,-0.2938305627368983,-0.5794374940405856,1,2,5,1,2,1,0,0,0,-0.11816841921388956,3,2,-0.6266410781261179,-0.6518313660250105,2,0.3502845972556041,2,1,1,3,1,0,3,0
0,0,1.7318184087661939,1.3690008888279883,0.2861901696033721,0,1,3,1,1,1,2,1,1,0.8079396757499341,1,2,0.8671619273835254,-0.586741935464893,0,0.561158384613609,2,0,0,2,2,0,0,1
1,0,2.4588693399628436,-0.004642484203874523,1.8319538546818683,1,2,4,0,0,0,3,2,0,0.9297960040346478,0,1,-0.0291198759222606,-0.6862904763215433,0,0.533041879632542,2,1,0,1,3,2,4,0
0,0,0.27771654637289417,-0.8722067198029458,-0.8885902310562849,1,2,0,1,4,1,0,1,2,0.6251551833228638,0,2,0.26964072517966803,-0.6594889460909066,0,0.06911954744493105,2,0,0,2,2,0,0,1
1,0,0.5685369188515582,-1.0890977787027136,0.22435962220023228,2,2,1,1,2,1,0,1,1,0.8323109414068768,2,1,0.17005385814569182,-0.6441737859591142,0,0.8423234344242834,2,1,0,4,3,2,4,0
1,1,0.13230636013356212,2.0919710851605475,1.8319538546818683,0,1,0,1,2,0,2,0,1,-1.3854742333749104,1,2,0.36922759221364426,1.7603063547322846,0,-1.1117736617598974,2,1,0,4,3,2,4,0
1,0,-0.15851401234509166,-0.43842460200341016,-1.1359124206688442,0,1,2,1,1,0,2,2,1,-1.5073305616596242,1,2,0.4688144592476205,1.5688668530848802,0,-0.999307641835628,2,1,0,4,3,2,4,0
0,0,-0.5947445710630878,-0.43842460200341016,0.719004001425351,1,2,0,1,1,1,1,1,1,0.6251551833228638,1,1,-0.6863931983465038,-0.29115934492130063,0,-0.11363773493200684,2,0,0,2,2,0,0,1
1,0,0.13230636013356212,-0.004642484203874523,-0.022962567412327096,0,1,2,0,1,1,2,1,0,0.9907241681770044,1,2,-0.32788047702418927,-0.6518313660250105,0,0.5049253746514747,2,1,1,4,3,2,4,0
1,0,-0.5947445710630878,-0.8722067198029458,-1.1359124206688442,0,2,0,1,1,1,1,0,0,0.7104546131221636,2,2,-0.9254016792280466,-0.7092632165192317,0,-1.3226474491179026,2,0,1,3,3,1,5,0
1,0,-0.05873463768714657,-0.004642484203874523,0.00551540255343431,1,1,0,1,1,1,1,1,1,0.14232822219475313,1,1,0.0014938646844805392,0.009570521245533259,0,-0.09985786367890946,0,0,0,3,0,0,0,0
0,0,-0.7401547573024095,-0.8722067198029458,-0.07242700533483902,2,2,0,1,4,2,0,0,0,-1.6291868899443378,0,2,-0.12870674295623682,1.99003375670917,0,-1.1117736617598974,2,0,0,2,2,0,0,1
0,0,-0.7401547573024095,0.8629217513951968,-0.022962567412327096,0,1,1,0,0,0,3,2,1,-0.2887672788124882,0,2,1.9626174647572638,-0.63268741586027,0,0.6736244045378785,0,1,0,3,1,0,3,0
0,0,-1.4672056884990594,1.2967038691947324,-1.1359124206688442,0,1,1,0,2,0,1,1,2,0.9297960040346478,1,2,0.5684013262815967,-0.6058858856296334,1,2.965119560494867,1,1,1,1,1,0,6,0
1,0,-1.4672056884990594,-0.43842460200341016,-0.3692136328699103,2,2,0,1,1,1,2,1,0,0.8079396757499341,0,2,-0.32788047702418927,-0.6671465261568028,0,0.8282651819337493,2,1,0,1,1,0,7,0
1,0,-0.013103826105759605,-0.2938305627368983,-0.1466236622186068,1,2,0,1,1,2,2,1,1,0.8323109414068768,0,1,0.26964072517966803,-0.5905707254978411,0,2.40278946087352,2,1,1,1,1,0,1,0
1,0,-0.47841642207161594,1.0075157906617087,-0.022962567412327096,0,1,1,0,0,0,3,2,2,0.9907241681770044,0,1,0.5684013262815967,-0.6671465261568028,0,0.6876826570284126,2,1,0,5,3,1,2,0
0,0,0.6557830305951595,1.1521098299282204,-0.39394585183116615,0,1,2,0,3,0,2,0,2,0.4423706908957935,0,2,2.6597255339950974,-0.5982283055637372,0,1.0391389692917543,1,1,0,6,3,2,4,0
0,0,0.13230636013356212,1.4412979084612443,-0.8885902310562849,0,1,4,0,1,1,0,0,1,0.4423706908957935,0,2,0.4688144592476205,-0.6901192663544913,0,-1.5335212364759077,1,0,1,7,1,0,3,0
1,0,-0.5947445710630878,-0.004642484203874523,-0.3692136328699103,1,1,0,1,0,1,0,1,0,-0.9833483500353555,2,0,0.9667487944175016,2.143185358027093,2,-0.8306086119492241,2,1,0,4,3,2,4,0
0,0,0.5685369188515582,-0.7276126805364339,-0.6289019319630976,1,2,0,1,1,1,1,0,0,0.600783917665921,2,1,-1.4233360143979277,-0.6671465261568028,2,1.2781292616308266,2,0,1,2,2,0,0,1
1,1,1.44099803628754,2.6703472422265953,4.057853561194902,1,1,0,1,1,1,2,0,1,0.3326999954395514,1,1,0.5684013262815967,-0.6411107539327559,0,-0.0011717150077373655,0,1,0,1,3,2,8,0
1,0,0.5394548816036877,0.573733672862173,0.051234089471440675,0,1,3,0,0,1,2,0,2,0.8079396757499341,0,2,1.663856863655335,-0.6709753161897508,1,0.814206929443216,0,1,0,3,1,0,3,0
0,1,1.150177663808876,2.814941281493107,2.5739204235195463,0,1,0,1,1,1,1,1,1,0.3326999954395514,1,2,0.07046699111171562,-0.5943995155307891,0,-2.1661425985499227,2,1,1,8,4,0,0,0
0,0,-0.3039241985844237,-0.43842460200341016,-1.1359124206688442,0,2,2,1,1,1,0,0,0,0.18647240149789443,3,1,0.07046699111171562,-0.6518313660250105,0,1.235954504159226,2,0,0,4,3,2,4,0
1,0,0.48129080710795696,1.730485986994268,1.4115061323405176,0,0,1,1,3,0,3,0,0,-1.3854742333749104,0,2,0.5684013262815967,1.645442653743842,0,-0.8306086119492241,1,1,0,4,1,0,3,0
1,0,-4.084589040807005,2.4534561833268276,-0.39394585183116615,0,1,1,0,3,0,2,1,0,-1.3854742333749104,0,2,1.0663356614514778,1.7220184544028037,1,-0.8306086119492241,1,1,0,4,1,0,3,0
0,0,1.7318184087661939,1.730485986994268,-0.1466236622186068,0,1,1,0,0,0,3,0,0,0.9541672696915905,0,2,1.3650962625534064,-0.6709753161897508,1,0.603333142085211,0,1,0,4,1,0,3,0
1,0,-0.44933438482375576,-0.43842460200341016,-0.9504207784594247,0,1,1,0,0,0,3,1,1,0.47892758938120733,0,2,1.8630305977232875,-0.63268741586027,0,-0.18392899738467558,2,1,1,1,0,0,3,0
0,0,-1.0309751297810736,-0.8722067198029458,-0.8885902310562849,1,2,0,1,4,2,0,0,0,0.7104546131221636,2,2,-0.9254016792280466,-0.6709753161897508,0,0.13941080989759916,2,0,0,2,2,0,0,1
1,0,1.004767477569544,0.2845455943291492,0.8426650962316308,0,1,2,0,2,1,2,1,1,1.5390776454582158,1,0,0.7675750603495491,-0.6709753161897508,1,-0.2963950173089444,0,1,0,6,3,2,4,0
0,0,-1.4672056884990594,0.4291396335956611,1.0899872858441901,0,1,4,0,3,2,1,0,1,0.3814425267534364,3,0,2.6597255339950974,-0.7092632165192317,0,0.6455078995568112,0,0,1,3,0,0,0,0
0,0,0.5685369188515582,-0.9445037394362017,-0.4434102897536781,1,2,5,1,4,1,1,0,0,0.7713827772645202,1,1,0.26964072517966803,-0.5714267753331006,2,-1.1117736617598974,2,0,1,4,3,2,4,0
1,0,-1.1763853160204056,0.4291396335956611,0.348020717006512,1,1,2,0,1,1,1,1,0,-1.0199052485207698,0,2,-0.447384717464961,-0.27048387874338087,1,-0.33856977478054545,0,1,1,6,1,0,7,0
