surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,cp_data,lesion_1_site,lesion_1_type,lesion_1_subtype,lesion_1_specific,num_lesions
no,adult,38.5,66.0,28.0,cool,reduced,nan,more_3_sec,extreme_pain,absent,severe,slight,none,5.0,decreased,distend_large,45.0,8.4,nan,2.3,died,no,no,11,3,0,0,1
yes,adult,39.2,88.0,20.0,cool,normal,pale_cyanotic,less_3_sec,mild_pain,absent,slight,slight,none,5.0,absent,distend_large,50.0,85.0,cloudy,2.0,euthanized,no,no,2,2,0,8,1
no,adult,38.3,40.0,24.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,5.0,normal,normal,33.0,6.7,nan,2.3,lived,no,yes,0,0,0,0,0
yes,young,39.1,164.0,84.0,cool,normal,dark_cyanotic,more_3_sec,depressed,absent,severe,none,less_1_liter,5.0,decreased,distend_large,48.0,7.2,serosanguious,5.3,died,yes,yes,2,2,0,8,1
no,adult,37.3,104.0,35.0,cool,normal,dark_cyanotic,more_3_sec,nan,nan,slight,slight,none,5.0,decreased,distend_large,74.0,7.4,nan,2.3,died,no,no,4,3,0,0,1
no,adult,38.2,64.0,25.0,warm,normal,pale_pink,less_3_sec,depressed,hypomotile,slight,slight,none,5.0,decreased,distend_large,45.0,7.5,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,37.9,48.0,16.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,none,5.0,decreased,distend_large,37.0,7.0,nan,2.3,lived,yes,no,3,1,2,4,1
yes,adult,38.2,60.0,25.0,cool,normal,nan,less_3_sec,nan,absent,slight,slight,none,5.0,decreased,distend_small,44.0,8.3,nan,2.3,died,yes,no,2,2,0,8,1
no,adult,38.2,80.0,36.0,cool,absent,pale_pink,less_3_sec,severe_pain,absent,severe,slight,none,5.0,decreased,distend_large,38.0,6.2,nan,2.3,euthanized,yes,no,3,2,0,5,1
no,young,38.3,90.0,25.0,normal,normal,normal_pink,less_3_sec,extreme_pain,hypomotile,none,slight,none,5.0,decreased,distend_large,40.0,6.2,clear,2.2,lived,no,yes,0,0,0,0,0
yes,adult,38.1,66.0,12.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,3.0,increased,distend_large,44.0,6.0,cloudy,3.6,lived,yes,yes,2,1,2,4,1
no,adult,39.1,72.0,52.0,warm,normal,bright_pink,less_3_sec,depressed,hypermotile,slight,none,none,5.0,absent,distend_small,50.0,7.8,nan,2.3,lived,yes,no,2,1,1,1,1
yes,adult,37.2,42.0,12.0,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,none,5.0,absent,distend_large,45.0,7.0,nan,2.3,lived,no,no,4,1,2,4,1
no,young,38.0,92.0,28.0,normal,normal,bright_pink,less_3_sec,alert,hypomotile,slight,significant,none,7.2,normal,normal,37.0,6.1,clear,2.3,died,no,yes,0,0,0,0,0
yes,adult,38.2,76.0,28.0,cool,normal,normal_pink,less_3_sec,mild_pain,absent,none,slight,less_1_liter,5.0,absent,distend_small,46.0,81.0,clear,2.0,lived,yes,no,2,1,1,2,1
yes,adult,37.6,96.0,48.0,cool,normal,pale_cyanotic,less_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,4.5,absent,distend_large,45.0,6.8,nan,2.3,died,yes,no,3,2,0,7,1
yes,young,38.2,128.0,36.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,significant,none,5.0,absent,distend_large,53.0,7.8,serosanguious,4.7,died,no,yes,1,4,0,0,1
no,adult,37.5,48.0,24.0,cool,normal,nan,nan,nan,nan,slight,slight,none,5.0,decreased,distend_large,45.0,7.5,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,37.6,64.0,21.0,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,none,none,none,5.0,increased,distend_large,40.0,7.0,clear,2.3,lived,yes,yes,4,2,0,5,1
no,adult,39.4,110.0,35.0,cool,reduced,dark_cyanotic,nan,nan,hypomotile,moderate,slight,none,5.0,decreased,distend_large,55.0,8.7,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,39.9,72.0,60.0,normal,normal,bright_red,more_3_sec,extreme_pain,absent,severe,significant,none,5.0,absent,distend_small,46.0,6.1,cloudy,2.3,lived,yes,no,2,1,1,1,1
no,adult,38.4,48.0,16.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,more_1_liter,5.5,absent,distend_large,49.0,6.8,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,38.6,42.0,34.0,warm,normal,pale_cyanotic,nan,depressed,hypomotile,none,slight,none,5.0,normal,distend_large,48.0,7.2,nan,2.3,lived,yes,no,3,1,1,1,1
yes,young,38.3,130.0,60.0,cool,reduced,nan,less_3_sec,depressed,absent,slight,slight,none,5.0,decreased,distend_large,50.0,70.0,nan,2.3,lived,yes,no,3,1,1,1,1
yes,adult,38.1,60.0,12.0,cool,reduced,pale_pink,less_3_sec,nan,absent,moderate,significant,less_1_liter,2.0,decreased,distend_large,51.0,65.0,nan,2.3,lived,yes,no,3,1,1,1,1
no,adult,37.8,60.0,42.0,cool,normal,nan,less_3_sec,nan,nan,slight,slight,none,5.0,decreased,distend_large,45.0,7.5,nan,2.3,lived,no,no,0,0,0,0,0
yes,adult,38.3,72.0,30.0,cool,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,none,5.0,decreased,distend_large,43.0,7.0,cloudy,3.9,lived,yes,yes,3,1,1,1,1
yes,adult,37.8,48.0,12.0,cool,normal,normal_pink,less_3_sec,nan,hypomotile,slight,none,none,5.0,normal,distend_large,37.0,5.5,cloudy,1.3,lived,no,yes,4,1,2,2,1
yes,adult,38.2,64.0,25.0,cool,normal,nan,nan,nan,nan,slight,slight,none,5.0,decreased,distend_large,45.0,7.5,nan,2.3,died,no,no,4,3,0,0,1
no,adult,37.7,48.0,25.0,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,none,none,5.0,decreased,distend_large,45.0,76.0,nan,2.3,lived,no,no,0,0,0,0,0
no,adult,37.7,96.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,significant,less_1_liter,4.0,absent,distend_large,66.0,7.5,nan,2.3,died,yes,no,4,2,0,5,1
no,adult,37.2,108.0,12.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,6.0,decreased,distend_large,52.0,8.2,serosanguious,7.4,euthanized,yes,yes,2,2,0,7,1
yes,adult,37.2,60.0,25.0,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,5.0,absent,distend_large,43.0,6.6,nan,2.3,lived,yes,no,2,2,0,9,1
yes,adult,38.2,64.0,28.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,slight,slight,none,5.0,absent,distend_small,49.0,8.6,cloudy,6.6,lived,yes,yes,2,2,0,8,1
yes,adult,38.2,100.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,significant,more_1_liter,5.0,absent,distend_small,52.0,6.6,nan,2.3,lived,yes,no,1,1,2,4,1
no,adult,38.2,104.0,24.0,cool,reduced,pale_pink,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,5.0,decreased,distend_large,73.0,8.4,nan,2.3,euthanized,yes,no,7,1,1,1,1
no,adult,38.3,112.0,16.0,cool,reduced,bright_red,more_3_sec,nan,nan,none,none,less_1_liter,5.0,decreased,distend_large,51.0,6.0,cloudy,1.0,euthanized,no,yes,5,2,0,5,1
yes,adult,37.8,72.0,25.0,cool,reduced,nan,less_3_sec,extreme_pain,hypomotile,none,slight,none,5.0,normal,normal,56.0,80.0,clear,2.0,lived,yes,no,3,1,1,1,1
no,adult,38.6,52.0,25.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,5.0,normal,distend_large,32.0,6.6,clear,5.0,lived,no,yes,0,0,0,0,0
yes,young,39.2,146.0,96.0,cool,normal,nan,nan,nan,nan,slight,slight,none,5.0,decreased,distend_large,45.0,7.5,nan,2.3,died,yes,no,2,1,1,3,1
yes,adult,38.2,88.0,25.0,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,none,more_1_liter,5.0,absent,distend_large,63.0,6.5,serosanguious,2.3,died,yes,no,4,2,0,5,1
no,young,39.0,150.0,72.0,cool,normal,nan,nan,nan,nan,slight,slight,none,5.0,decreased,distend_large,47.0,8.5,nan,0.1,lived,yes,yes,9,4,0,0,1
no,adult,38.0,60.0,12.0,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,none,none,5.0,increased,distend_large,47.0,7.0,nan,2.3,lived,no,no,3,1,1,1,1
yes,adult,38.2,120.0,25.0,cool,absent,pale_cyanotic,less_3_sec,severe_pain,absent,severe,none,none,5.0,decreased,distend_large,52.0,67.0,cloudy,2.0,euthanized,yes,no,3,2,0,5,1
yes,adult,35.4,140.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,slight,slight,none,5.0,decreased,distend_large,57.0,69.0,serosanguious,2.0,euthanized,yes,no,3,2,0,5,1
no,adult,38.2,120.0,25.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,none,5.0,absent,distend_large,60.0,6.5,serosanguious,2.3,died,yes,no,3,2,0,5,1
yes,adult,37.9,60.0,15.0,cool,normal,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,slight,less_1_liter,5.0,absent,distend_large,65.0,7.5,nan,2.3,lived,yes,yes,2,3,0,5,1
