surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,cp_data,lesion_1_site,lesion_1_type,lesion_1_subtype,lesion_1_specific,num_lesions
0,0,0.49649784097620686,-0.19477098705542595,-0.0877259340276094,0.0,1.0,0,0,0,0,3.0,1.0,0.0,0.062143403519976236,1.0,2.0,-0.11916988577729941,-0.533355182120995,0,-0.20983114609986253,0,0,0,0,0,0,0,0
1,0,1.5656027598683766,0.6049815428138573,-0.5885384261374936,0.0,2.0,1,1,1,0,1.0,1.0,0.0,0.062143403519976236,0.0,2.0,0.3855297721180616,2.3800572718345006,1,-0.46179706049286945,1,0,0,1,1,0,1,0
0,0,0.19103929272129808,-1.1399330678100335,-0.33813218008255147,1.0,2.0,2,1,1,1,0.0,1.0,0.0,0.062143403519976236,2.0,0.0,-1.3304490647261658,-0.5980131608641326,0,-0.20983114609986253,2,0,1,2,2,0,0,1
1,1,1.4128734857409224,3.3677630096350177,3.41796151074158,0.0,2.0,3,0,2,0,3.0,0.0,1.0,0.062143403519976236,1.0,2.0,0.1836499089599172,-0.5789961082926216,2,2.3098279978302085,0,1,1,1,1,0,1,0
0,0,-1.336253448553224,1.1866197463551542,0.35048499656853926,0.0,2.0,3,0,3,2,1.0,1.0,0.0,0.062143403519976236,1.0,2.0,2.8080881300157947,-0.571389287264017,0,-0.20983114609986253,0,0,0,3,0,0,0,0
0,0,0.03831001859385454,-0.2674757624980881,-0.275530618568816,2.0,2.0,2,1,2,1,1.0,1.0,0.0,0.062143403519976236,1.0,2.0,-0.11916988577729941,-0.567585876749715,0,-0.20983114609986253,2,0,0,2,2,0,0,1
1,0,-0.41987780378850864,-0.849113966039385,-0.8389446721924356,1.0,2.0,4,1,1,1,2.0,0.0,0.0,0.062143403519976236,1.0,2.0,-0.926689338409877,-0.5866029293212259,0,-0.20983114609986253,2,1,0,4,3,1,2,0
1,0,0.03831001859385454,-0.41288531338341233,-0.275530618568816,0.0,2.0,0,1,3,0,1.0,1.0,0.0,0.062143403519976236,1.0,1.0,-0.2201098173563716,-0.5371585926352972,0,-0.20983114609986253,0,1,0,1,1,0,1,0
0,0,0.03831001859385454,0.3141624410432089,0.4130865580822748,0.0,0.0,2,1,4,0,3.0,1.0,0.0,0.062143403519976236,1.0,2.0,-0.8257494068308049,-0.6170302134356437,0,-0.20983114609986253,1,1,0,4,1,0,3,0
0,1,0.19103929272129808,0.6776863182565195,-0.275530618568816,1.0,2.0,4,1,0,1,0.0,1.0,0.0,0.062143403519976236,1.0,2.0,-0.6238695436726605,-0.6170302134356437,3,-0.2938197842308646,2,0,1,2,2,0,0,1
1,0,-0.11441925553359984,-0.19477098705542595,-1.0893509182473777,0.0,1.0,5,1,1,1,0.0,1.0,0.0,-2.3353891967991136,3.0,2.0,-0.2201098173563716,-0.6246370344642481,1,0.8820211496031685,2,1,1,1,3,1,2,0
0,0,1.4128734857409224,0.0233433392725604,1.414711542302043,2.0,2.0,6,1,2,3,1.0,0.0,0.0,0.062143403519976236,0.0,1.0,0.3855297721180616,-0.5561756452068082,0,-0.20983114609986253,2,1,0,1,3,2,4,0
1,0,-1.4889827226806676,-1.0672282923673715,-1.0893509182473777,2.0,2.0,4,1,1,1,2.0,2.0,0.0,0.062143403519976236,0.0,2.0,-0.11916988577729941,-0.5866029293212259,0,-0.20983114609986253,2,0,0,3,3,1,2,0
0,1,-0.26714852966105423,0.7503910936991816,-0.0877259340276094,1.0,2.0,6,1,5,1,1.0,2.0,0.0,2.699429263870975,2.0,0.0,-0.926689338409877,-0.620833623949946,3,-0.20983114609986253,0,0,1,2,2,0,0,1
1,0,0.03831001859385454,0.16875289015788464,-0.0877259340276094,0.0,2.0,4,1,1,0,0.0,1.0,1.0,0.062143403519976236,0.0,1.0,-0.01822995419822721,2.227920851262412,3,-0.46179706049286945,2,1,0,1,3,2,5,0
1,0,-0.8780656261708609,0.8958006445845058,1.164305296247101,0.0,2.0,1,1,0,1,2.0,1.0,2.0,-0.5372397465597962,0.0,2.0,-0.11916988577729941,-0.5942097503498304,0,-0.20983114609986253,0,1,0,4,1,0,6,0
1,1,0.03831001859385454,2.0590770516670998,0.4130865580822748,0.0,1.0,1,0,4,0,2.0,2.0,0.0,0.062143403519976236,0.0,2.0,0.6883495668552783,-0.5561756452068082,2,1.8058961690441946,0,0,1,5,4,0,0,0
0,0,-1.0307949002983152,-0.849113966039385,-0.33813218008255147,0.0,2.0,0,2,3,2,1.0,1.0,0.0,0.062143403519976236,1.0,2.0,-0.11916988577729941,-0.567585876749715,0,-0.20983114609986253,2,0,0,2,2,0,0,1
1,0,-0.8780656261708609,-0.2674757624980881,-0.5259368646237581,1.0,2.0,6,1,2,1,0.0,0.0,0.0,0.062143403519976236,3.0,2.0,-0.6238695436726605,-0.5866029293212259,3,-0.20983114609986253,2,1,1,3,1,0,3,0
0,0,1.8710613081232745,1.4047340726831408,0.35048499656853926,0.0,1.0,3,2,3,1,2.0,1.0,0.0,0.062143403519976236,1.0,2.0,0.8902294300134226,-0.5219449505780883,0,-0.20983114609986253,2,0,0,2,2,0,0,1
1,0,2.634707678760536,0.0233433392725604,1.9155240344119273,1.0,2.0,5,0,0,0,3.0,2.0,0.0,0.062143403519976236,0.0,1.0,-0.01822995419822721,-0.620833623949946,1,-0.20983114609986253,2,1,0,1,3,2,4,0
0,0,0.34376856684875245,-0.849113966039385,-0.8389446721924356,1.0,2.0,4,1,5,1,0.0,1.0,2.0,0.6615265535997487,0.0,2.0,0.2845898405389894,-0.5942097503498304,0,-0.20983114609986253,2,0,0,2,2,0,0,1
1,0,0.6492271151036613,-1.0672282923673715,0.28788343505480374,2.0,2.0,1,2,2,1,0.0,1.0,0.0,0.062143403519976236,2.0,2.0,0.1836499089599172,-0.5789961082926216,0,-0.20983114609986253,2,1,0,4,3,2,4,0
1,1,0.19103929272129808,2.1317818271097617,1.9155240344119273,0.0,1.0,0,1,2,0,1.0,1.0,0.0,0.062143403519976236,1.0,2.0,0.3855297721180616,1.8095456946891684,0,-0.20983114609986253,2,1,0,4,3,2,4,0
1,0,-0.11441925553359984,-0.41288531338341233,-1.0893509182473777,0.0,1.0,2,1,3,0,2.0,2.0,1.0,-3.5341554969586584,1.0,2.0,0.4864697036971338,1.6193751689740579,0,-0.20983114609986253,2,1,0,4,3,2,4,0
0,0,-0.572607077915963,-0.41288531338341233,0.788695927164688,0.0,2.0,0,1,3,2,1.0,1.0,0.0,0.062143403519976236,1.0,2.0,-0.11916988577729941,-0.567585876749715,0,-0.20983114609986253,2,0,0,2,2,0,0,1
1,0,0.19103929272129808,0.0233433392725604,0.03747718899986164,0.0,1.0,2,0,1,1,2.0,1.0,0.0,0.062143403519976236,1.0,2.0,-0.3210497489354438,-0.5866029293212259,1,1.1339870639961753,2,1,1,4,3,2,4,0
1,0,-0.572607077915963,-0.849113966039385,-1.0893509182473777,0.0,2.0,4,1,3,1,1.0,0.0,0.0,0.062143403519976236,2.0,2.0,-0.926689338409877,-0.6436540870357592,1,-1.049717527409886,2,0,1,3,3,1,5,0
1,0,0.03831001859385454,-0.2674757624980881,-0.275530618568816,0.0,2.0,0,2,3,2,1.0,1.0,0.0,0.062143403519976236,1.0,2.0,-0.11916988577729941,-0.567585876749715,0,-0.20983114609986253,0,0,0,3,0,0,0,0
0,0,-0.7253363520434065,-0.849113966039385,-0.275530618568816,2.0,2.0,4,1,5,3,0.0,0.0,0.0,0.062143403519976236,1.0,2.0,-0.11916988577729941,2.037750325547301,0,-0.20983114609986253,2,0,0,2,2,0,0,1
0,0,-0.7253363520434065,0.8958006445845058,0.03747718899986164,0.0,1.0,1,0,0,0,3.0,2.0,1.0,-1.1366228966395686,0.0,2.0,2.000568677383217,-0.567585876749715,0,-0.20983114609986253,0,1,0,3,1,0,3,0
0,0,-1.4889827226806676,1.3320292972404786,-1.0893509182473777,0.0,1.0,1,0,2,0,1.0,1.0,2.0,1.2609097036795212,1.0,2.0,0.587409635276206,-0.5409620031495994,2,4.073589398581259,1,1,1,1,1,0,6,0
1,0,-1.4889827226806676,-0.41288531338341233,-0.275530618568816,2.0,2.0,4,1,1,1,2.0,1.0,0.0,0.062143403519976236,0.0,2.0,-0.3210497489354438,-0.6018165713784348,0,-0.20983114609986253,2,1,0,1,1,0,7,0
1,0,0.03831001859385454,-0.2674757624980881,-0.0877259340276094,1.0,2.0,4,1,1,3,1.0,1.0,0.0,0.062143403519976236,0.0,1.0,0.2845898405389894,-0.5257483610923905,1,3.4016802935332393,2,1,1,1,1,0,1,0
1,0,0.03831001859385454,1.04121019546983,0.03747718899986164,0.0,1.0,1,0,0,0,3.0,2.0,2.0,0.062143403519976236,0.0,1.0,0.587409635276206,-0.6018165713784348,0,-0.20983114609986253,2,1,0,5,3,1,2,0
0,0,0.03831001859385454,1.1866197463551542,-0.33813218008255147,0.0,1.0,2,0,4,0,2.0,1.0,2.0,0.062143403519976236,1.0,2.0,2.7071481984367223,-0.533355182120995,0,-0.20983114609986253,1,1,0,6,3,2,4,0
0,0,0.19103929272129808,1.4774388481258027,-0.8389446721924356,0.0,1.0,5,0,3,2,0.0,0.0,1.0,0.062143403519976236,1.0,2.0,0.4864697036971338,-0.6246370344642481,1,-1.301683441802893,1,0,1,7,1,0,3,0
