surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,cp_data,lesion_1_site,lesion_1_type,lesion_1_subtype,lesion_1_specific,num_lesions
0,0,38.5,66.0,28.0,0.0,1.0,0,0,0,0,3.0,1.0,0.0,5.0,1.0,2.0,45.0,8.4,0,2.3,0,0,0,0,0,0,0,0
1,0,39.2,88.0,20.0,0.0,2.0,1,1,1,0,1.0,1.0,0.0,5.0,0.0,2.0,50.0,85.0,1,2.0,1,0,0,1,1,0,1,0
0,0,38.3,40.0,24.0,1.0,2.0,2,1,1,1,0.0,1.0,0.0,5.0,2.0,0.0,33.0,6.7,0,2.3,2,0,1,2,2,0,0,1
1,1,39.1,164.0,84.0,0.0,2.0,3,0,2,0,3.0,0.0,1.0,5.0,1.0,2.0,48.0,7.2,2,5.3,0,1,1,1,1,0,1,0
0,0,37.3,104.0,35.0,0.0,2.0,3,0,3,2,1.0,1.0,0.0,5.0,1.0,2.0,74.0,7.4,0,2.3,0,0,0,3,0,0,0,0
0,0,38.2,64.0,25.0,2.0,2.0,2,1,2,1,1.0,1.0,0.0,5.0,1.0,2.0,45.0,7.5,0,2.3,2,0,0,2,2,0,0,1
1,0,37.9,48.0,16.0,1.0,2.0,4,1,1,1,2.0,0.0,0.0,5.0,1.0,2.0,37.0,7.0,0,2.3,2,1,0,4,3,1,2,0
1,0,38.2,60.0,25.0,0.0,2.0,0,1,3,0,1.0,1.0,0.0,5.0,1.0,1.0,44.0,8.3,0,2.3,0,1,0,1,1,0,1,0
0,0,38.2,80.0,36.0,0.0,0.0,2,1,4,0,3.0,1.0,0.0,5.0,1.0,2.0,38.0,6.2,0,2.3,1,1,0,4,1,0,3,0
0,1,38.3,90.0,25.0,1.0,2.0,4,1,0,1,0.0,1.0,0.0,5.0,1.0,2.0,40.0,6.2,3,2.2,2,0,1,2,2,0,0,1
